Genus,G1,G2,G3,G4,G5,G6,G7,G11,G12,G14,G16,G18,G19,G20,G21,G22,G24,G29,G31,G32,G33,G34,G35,G36,G38,G45,G47,G48,G51,G54,G55,G58,G59,G61,G62,G64,G65,G66,G67,G69,G70,Taxonomy
Stenotrophomonas,1.00E-37,0,NA,0,3.00E-157,NA,NA,NA,3.00E-12,NA,NA,2.00E-11,1.00E-32,NA,NA,NA,5.00E-97,NA,NA,1.00E-06,NA,2.00E-46,5.00E-109,2.00E-148,NA,NA,2.00E-07,NA,5.00E-31,3.00E-125,9.00E-52,6.00E-27,4.00E-85,4.00E-29,8.00E-43,NA,NA,9.00E-26,NA,NA,4.00E-07,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
Acinetobacter,7.00E-37,0,NA,1.00E-46,1.00E-25,7.00E-12,2.00E-87,NA,NA,NA,6.00E-07,NA,2.00E-10,NA,NA,NA,8.00E-74,NA,NA,,,,2.00E-34,,4.00E-05,,,NA,NA,7.00E-76,2.00E-31,NA,9.00E-65,NA,NA,NA,NA,2.00E-10,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae
Pseudomonas,1.00E-36,0,6.00E-13,2.00E-179,3.00E-125,1.00E-24,2.00E-87,NA,NA,NA,2.00E-33,NA,7.00E-64,NA,NA,NA,6.00E-84,1.00E-07,NA,4.00E-06,NA,7.00E-50,3.00E-49,2.00E-65,NA,7.00E-05,NA,NA,4.00E-20,3.00E-103,2.00E-44,1.00E-49,8.00E-86,NA,9.00E-26,NA,NA,1.00E-19,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae
Xanthomonadaceae bacterium,4.00E-36,0,NA,2.00E-25,NA,NA,2.00E-51,NA,NA,6.00E-06,3.00E-92,NA,1.00E-14,5.00E-115,9.00E-01,3.00E-80,NA,NA,NA,NA,NA,4.00E-73,5.00E-05,NA,NA,NA,NA,NA,NA,1.00E-109,NA,NA,NA,NA,NA,NA,NA,1.00E-17,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; unclassified Xanthomonadaceae; unclassified Xanthomonadaceae (miscellaneous)
Haliea,2.00E-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-15,NA,NA,NA,NA,1.00E-48,3.00E-09,NA,NA,5.00E-06,NA,NA,NA,8.00E-85,NA,NA,8.00E-08,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Cellvibrionales; Halieaceae
Xanthomonas,3.00E-34,0,NA,0,1.00E-157,NA,NA,NA,4.00E-21,NA,NA,NA,NA,NA,NA,NA,2.00E-97,NA,NA,NA,NA,2.00E-59,3.00E-23,NA,NA,NA,4.00E-07,NA,2.00E-24,5.00E-106,2.00E-53,1.00E-31,1.00E-80,3.00E-27,1.00E-36,NA,NA,4.00E-10,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
Desulfurellales bacterium,3.00E-34,0,NA,2.00E-64,8.00E-30,NA,2.00E-62,NA,NA,6.00E-30,4.00E-24,NA,1.00E-39,0,7.00E-22,2.00E-130,NA,NA,NA,NA,NA,5.00E-43,1.00E-35,NA,7.00E-08,NA,NA,NA,6.00E-05,4.00E-79,NA,NA,6.00E-15,1.00E-26,NA,2.00E-08,NA,3.00E-10,NA,NA,NA,Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfurellales; unclassified Desulfurellales
Luteimonas,1.00E-33,0,NA,7.00E-27,2.00E-18,NA,NA,NA,NA,NA,8.00E-50,NA,2.00E-17,NA,NA,NA,3.00E-87,NA,NA,NA,NA,9.00E-56,2.00E-16,NA,NA,NA,NA,NA,4.00E-25,2.00E-140,NA,NA,NA,NA,NA,NA,NA,4.00E-18,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
Pseudoxanthomonas,3.00E-33,0,NA,0,1.00E-166,NA,5.00E-22,NA,5.00E-19,NA,NA,3.00E-12,3.00E-22,NA,NA,NA,5.00E-87,NA,NA,NA,NA,2.00E-47,9.00E-38,1.00E-144,NA,NA,NA,3.00E-09,NA,2.00E-110,3.00E-44,NA,4.00E-79,NA,2.00E-36,NA,NA,3.00E-21,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
Marinobacter,1.00E-31,0,NA,2.00E-76,3.00E-90,3.00E-22,4.00E-103,NA,NA,NA,8.00E-59,NA,5.00E-50,NA,NA,NA,5.00E-52,NA,NA,NA,NA,4.00E-41,4.00E-37,8.00E-66,NA,NA,NA,NA,NA,3.00E-87,2.00E-24,NA,8.00E-15,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae
Azotobacter,8.00E-22,0,NA,1.00E-174,5.00E-116,1.00E-21,2.00E-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00E-31,NA,NA,NA,NA,2.00E-47,7.00E-24,5.00E-65,NA,NA,NA,NA,NA,2.00E-82,NA,NA,2.00E-54,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter group
Aquabacterium,7.00E-05,0,NA,4.00E-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-37,NA,NA,NA,NA,NA,2.00E-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; unclassified Burkholderiales; Burkholderiales Genera incertae sedis
Lysobacter,NA,8.00E-13,NA,0,2.00E-166,NA,NA,NA,NA,NA,NA,2.00E-11,NA,NA,NA,NA,2.00E-37,NA,NA,NA,NA,3.00E-52,6.00E-97,5.00E-124,9.00E-06,NA,NA,NA,4.00E-16,3.00E-124,9.00E-45,NA,2.00E-69,NA,4.00E-39,NA,NA,5.00E-14,NA,NA,3.00E-07,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
Rhodanobacter,NA,1.00E-24,NA,0,1.00E-165,NA,5.00E-83,NA,NA,NA,NA,3.00E-23,3.00E-12,NA,NA,NA,4.00E-87,NA,NA,NA,NA,3.00E-61,3.00E-14,NA,1.00E-40,NA,NA,7.00E-07,9.00E-22,7.00E-126,NA,NA,NA,NA,NA,NA,NA,5.00E-35,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae
Rudaea,NA,3.00E-18,NA,0,3.00E-56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00E-54,NA,NA,NA,NA,NA,NA,NA,1.00E-103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae
Frateuria,NA,NA,NA,2.00E-172,5.00E-103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-91,NA,NA,NA,NA,4.00E-59,2.00E-57,3.00E-122,NA,NA,NA,NA,5.00E-20,2.00E-107,NA,NA,2.00E-07,8.00E-36,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae
